"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
"0","0","0","0","0.2384186","0","0","-2.765656","0","0","0.1430511","0","0","-0.9059906","0","0","-0.09536743","0","0","0.4291534","0","0","0.04768372","0"
"0.01","0","4.166667E-05","0.01","0.2384186","4.166667E-05","0.01","-2.765656","5.208333E-05","0.01","0.1430511","4.166667E-05","0.01","-0.9059906","4.166667E-05","0.01","-0.09536743","4.166667E-05","0.01","0.4291534","4.166667E-05","0.01","0.04768372","5.208333E-05"
"0.02","0","0.0002604167","0.02","0.2384186","0.00021875","0.02","-2.765656","0.0002604167","0.02","0.1430511","0.0002395833","0.02","-0.9059906","0.0002604167","0.02","-0.09536743","0.00025","0.02","0.4291534","0.0002604167","0.02","0.04768372","0.0002708333"
"0.03","0","0.0006354167","0.03","0.2384186","0.00059375","0.03","-2.765656","0.0006458333","0.03","0.1430511","0.000625","0.03","-0.9059906","0.0006354167","0.03","-0.09536743","0.0006354167","0.03","0.4291534","0.0006354167","0.03","0.04768372","0.00065625"
"0.04","0","0.001145833","0.04","0.2384186","0.001125","0.04","-2.765656","0.00115625","0.04","0.1430511","0.00115625","0.04","-0.9059906","0.00115625","0.04","-0.09536743","0.001145833","0.04","0.4291534","0.001135417","0.04","0.04768372","0.001166667"
"0.05","-0.09536743","0.00175","0.05","0.2384186","0.00175","0.05","-2.765656","0.001770833","0.05","0.1430511","0.001802083","0.05","-0.9059906","0.00178125","0.05","-0.09536743","0.001760417","0.05","0.4291534","0.00175","0.05","0.04768372","0.00178125"
"0.06","-0.1430511","0.002541667","0.06","0.2384186","0.002552083","0.06","-2.765656","0.002552083","0.06","0.1430511","0.002614583","0.06","-0.9059906","0.00259375","0.06","-0.09536743","0.002552083","0.06","0.4291534","0.002552083","0.06","0.04768372","0.002572917"
"0.07","-0.1430511","0.0035625","0.07","0.2384186","0.00359375","0.07","-2.765656","0.00359375","0.07","0.1430511","0.003666667","0.07","-0.9059906","0.003645833","0.07","-0.09536743","0.003572917","0.07","0.4291534","0.003604167","0.07","0.04768372","0.003604167"
